"tconst","averageRating","numVotes","primaryTitle","releaseYear","runtimeMinutes","actorID","actorName","actorBirthYear","actorDeathYear","actorCategory","actorAlive","actorAge","directorID","directorName","directorBirthYear","directorDeathYear","directorAlive","directorAge","genre_Drama","genre_Fantasy","genre_Horror","genre_Crime","genre_Adventure","genre_Mystery","genre_Sci-Fi","genre_War","genre_Romance","genre_History","genre_Comedy","genre_Western","genre_Thriller","genre_Action","genre_Musical","genre_Film-Noir","genre_Music","genre_Documentary","genre_Family","genre_Biography","genre_Adult","genre_Sport","genre_Animation","genre_Reality-TV","genre_News"
"tt0007983",6.2,137,"Furcht",1917,72,"nm0213638","Bruno Decarli",1877,1950,"actor",0,40,"nm0927468","Robert Wiene",1873,1938,0,44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0008099",5.8,92,"Hilde Warren und der Tod",1917,80,"nm0562069","Mia May",1884,1980,"actress",0,33,"nm0562004","Joe May",1880,1954,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0008252",6.3,93,"Malombra",1917,75,"nm0096330","Lyda Borelli",1884,1959,"actress",0,33,"nm0303120","Carmine Gallone",1885,1973,0,32,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0008825",5.8,11,"Sacrifice",1918,88,"nm9892419","Szokol Aoles",1899,NA,"actor",1,19,"nm0407778","Eugen Illés",1877,1951,0,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0008826",5.5,30,"Alraune",1919,80,"nm0350616","Gyula Gál",1865,1945,"actor",0,54,"nm0002031","Michael Curtiz",1886,1962,0,33,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0008854",5.4,571,"The Eyes of the Mummy",1918,63,"nm0624470","Pola Negri",1897,1987,"actress",0,21,"nm0523932","Ernst Lubitsch",1892,1947,0,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0008978",4.9,59,"The Craving",1918,50,"nm0285643","Francis Ford",1881,1953,"actor",0,37,"nm0000406","John Ford",1894,1973,0,24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0010215",6.9,16,"The Haunted Bedroom",1919,50,"nm0071746","Enid Bennett",1893,1969,"actress",0,26,"nm0629243","Fred Niblo",1874,1948,0,45,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0010307",7.7,1483,"J'accuse!",1919,166,"nm0431069","Romuald Joubé",1876,1949,"actor",0,43,"nm0304098","Abel Gance",1889,1981,0,30,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tt0010323",8.1,58549,"The Cabinet of Dr. Caligari",1920,76,"nm0470328","Werner Krauss",1884,1959,"actor",0,36,"nm0927468","Robert Wiene",1873,1938,0,47,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
